Year,Assault,LegalIntervention,SexualAssault,SelfHarm,Other,EstimatedTotal,SampleCases,,,,,,,
2001,1696441,45122,67331,306759,47721,2163373,36635,,,Percent Change Between 2001-2022,,,,
2002,1586315,47242,76317,309952,38719,2058547,38058,,,Assault,LegalIntervention,SexualAssault,SelfHarm,Other
2003,1555018,43851,73834,395322,42245,2110270,35995,,,-0.206196974,0.221377599,0.718302119,0.72596729,0.222585445
2004,1628065,58930,79855,410133,40841,2217826,39479,,,,,,,
2005,1567432,56232,74198,359874,44363,2102099,39275,,,,,,,
2006,1589223,59343,71296,383294,46500,2149660,37653,,,,,,,
2007,1412180,60757,74676,379139,98016,2024768,37310,,,,,,,
2008,1535760,53691,73809,358943,53442,2075647,39179,,,,,,,
2009,1472129,55384,63096,358769,54206,2003585,38683,,,,,,,
2010,1705942,73505,70963,444737,48009,2343157,41174,,,,,,,
2011,1677097,77083,78521,473134,50561,2356394,42037,,,,,,,
2012,1630398,70622,80687,461367,62461,2305535,44075,,,,,,,
2013,1497717,80259,72910,477361,110368,2238615,44053,,,,,,,
2014,1412163,65013,72762,447271,112606,2109815,42235,,,,,,,
2015,1430147,52702,80590,487013,115031,2165482,42105,,,,,,,
2016,1458141,59220,88431,483372,139789,2228954,41034,,,,,,,
2017,1489827,59255,103437,475845,164580,2292945,42818,,,,,,,
2018,1331462,61289,97284,473364,157030,2120430,39052,,,,,,,
2019,1151369,61566,98786,470248,305209,2087176,40667,,,,,,,
2020,1168223,55676,93140,461286,206679,1985004,40349,,,,,,,
2021,1128261,45524,101215,466865,216408,1958273,42403,,,,,,,
2022,1346640,55111,115695,529456,58343,2105245,58193,,,,,,,
,,,,,,,,,,,,,,
Percent Change,,,,,,,,,,,,,,
Year Range,Assault,LegalIntervention,SexualAssault,SelfHarm,Other,,,,,,,,,
"""2001-2002"",",-0.064915903,0.046983733,0.13346007,0.010408823,-0.188638126,,,,,,,,,
"""2002-2003"",",-0.019729373,-0.071779349,-0.032535346,0.275429744,0.091066402,,,,,,,,,
" ""2003-2004"",",0.046975019,0.343869011,0.081547796,0.037465661,-0.033234702,,,,,,,,,
"""2004-2005"",",-0.037242371,-0.045783133,-0.070840899,-0.122543175,0.08623687,,,,,,,,,
"""2005-2006"",",0.013902357,0.05532437,-0.039111566,0.065078333,0.048170773,,,,,,,,,
" ""2006-2007"",",-0.111402239,0.023827579,0.047407989,-0.010840243,1.107870968,,,,,,,,,
"""2007-2008"",",0.087510091,-0.116299356,-0.011610156,-0.053268063,-0.454762488,,,,,,,,,
" ""2008-2009"",",-0.041432906,0.031532287,-0.145144901,-0.000484757,0.014295872,,,,,,,,,
" ""2009-2010"",",0.158826434,0.327188358,0.124683023,0.239619365,-0.114323138,,,,,,,,,
" ""2010-2011"",",-0.016908547,0.048676961,0.106506207,0.06385122,0.0531567,,,,,,,,,
" ""2011-2012"",",-0.02784514,-0.083818741,0.027584977,-0.024870333,0.235359269,,,,,,,,,
"""2012-2013"",",-0.081379516,0.136458894,-0.096384796,0.034666545,0.766990602,,,,,,,,,
" ""2013-2014"",",-0.057122941,-0.189960004,-0.0020299,-0.063034056,0.020277617,,,,,,,,,
"""2014-2015"",",0.012735074,-0.189362128,0.107583629,0.088854408,0.021535265,,,,,,,,,
"""2015-2016"",",0.019574212,0.123676521,0.09729495,-0.007476186,0.215228938,,,,,,,,,
" ""2016-2017"",",0.021730409,0.000591017,0.169691624,-0.015571858,0.177345857,,,,,,,,,
" ""2017-2018"",",-0.106297577,0.034326217,-0.059485484,-0.005213883,-0.045874347,,,,,,,,,
"""2018-2019"",",-0.135259587,0.004519571,0.015439332,-0.006582672,0.943634974,,,,,,,,,
" ""2019-2020"",",0.014638226,-0.095669688,-0.057153848,-0.019058029,-0.322827964,,,,,,,,,
" ""2020-2021"",",-0.03420751,-0.182340685,0.086697445,0.012094449,0.047072997,,,,,,,,,
" ""2021-2022""",0.193553619,0.210592215,0.143061799,0.134066593,-0.730402758,,,,,,,,,
