Year,Cause of Injury,Estimated Number,Percent of Self-Harm,Percent,Cases (Sample),
2001,"""Self-Harm Cut/Pierce""","62,817",20.48%,2.90%,962,"306,759"
2001,"""Self-Harm Other Specified""","22,217",7.24%,1.00%,317,306759
2001,"""Self-Harm Poisoning""","215,814",70.35%,10.00%,"3,489",306759
2001,"""Self-Harm Struck by /Against""","5,911",1.93%,0.30%,98,306759
2002,"""Self-Harm Cut/Pierce""","62,310",20.10%,3.00%,"1,032","309,952"
2002,"""Self-Harm Other Specified""","26,363",8.51%,1.30%,427,309952
2002,"""Self-Harm Poisoning""","214,987",69.36%,10.40%,"3,686",309952
2002,"""Self-Harm Struck by /Against""","6,292",2.03%,0.30%,111,309952
2003,"""Self-Harm Cut/Pierce""","68,910",17.43%,3.30%,995,"395,322"
2003,"""Self-Harm Other Specified""","43,154",10.92%,2.00%,622,395322
2003,"""Self-Harm Poisoning""","273,898",69.28%,13.00%,"3,943",395322
2003,"""Self-Harm Struck by /Against""","9,360",2.37%,0.40%,136,395322
2004,"""Self-Harm Cut/Pierce""","79,638",19.42%,3.60%,"1,273","410,133"
2004,"""Self-Harm Other Specified""","47,769",11.65%,2.20%,781,410133
2004,"""Self-Harm Poisoning""","272,275",66.39%,12.30%,"3,992",410133
2004,"""Self-Harm Struck by /Against""","10,451",2.55%,0.50%,176,410133
2005,"""Self-Harm Cut/Pierce""","78,867",21.92%,3.80%,"1,248","359,874"
2005,"""Self-Harm Other Specified""","57,945",16.10%,2.80%,"1,126",359874
2005,"""Self-Harm Poisoning""","207,199",57.58%,9.90%,"3,325",359874
2005,"""Self-Harm Struck by /Against""","10,294",2.86%,0.50%,188,359874
2005,"""Self-Harm Unknown / Unspecified""","5,569",1.55%,0.30%,92,359874
2006,"""Self-Harm Cut/Pierce""","77,058",20.10%,3.60%,"1,150","383,294"
2006,"""Self-Harm Other Specified""","61,950",16.16%,2.90%,"1,168",383294
2006,"""Self-Harm Poisoning""","216,358",56.45%,10.10%,"3,152",383294
2006,"""Self-Harm Struck by /Against""","20,923",5.46%,1.00%,319,383294
2006,"""Self-Harm Unknown / Unspecified""","7,005",1.83%,0.30%,107,383294
2007,"""Self-Harm Cut/Pierce""","77,024",20.32%,3.80%,"1,197","379,139"
2007,"""Self-Harm Other Specified""","76,591",20.20%,3.80%,"1,598",379139
2007,"""Self-Harm Poisoning""","197,733",52.15%,9.80%,"2,881",379139
2007,"""Self-Harm Struck by /Against""","18,681",4.93%,0.90%,293,379139
2007,"""Self-Harm Unknown / Unspecified""","9,110",2.40%,0.50%,161,379139
2008,"""Self-Harm Cut/Pierce""","75,976",21.17%,3.70%,"1,271","358,943"
2008,"""Self-Harm Other Specified""","69,632",19.40%,3.40%,"1,476",358943
2008,"""Self-Harm Poisoning""","200,397",55.83%,9.70%,"3,088",358943
2008,"""Self-Harm Struck by /Against""","12,938",3.60%,0.60%,229,358943
2009,"""Self-Harm Cut/Pierce""","81,452",22.70%,4.10%,"1,359","358,769"
2009,"""Self-Harm Other Specified""","56,747",15.82%,2.80%,"1,196",358769
2009,"""Self-Harm Poisoning""","209,977",58.53%,10.50%,"3,476",358769
2009,"""Self-Harm Struck by /Against""","10,593",2.95%,0.50%,195,358769
2010,"""Self-Harm Cut/Pierce""","93,321",20.98%,4.00%,"1,459","444,737"
2010,"""Self-Harm Other Specified""","69,890",15.71%,3.00%,"1,209",444737
2010,"""Self-Harm Poisoning""","266,176",59.85%,11.40%,"3,865",444737
2010,"""Self-Harm Struck by /Against""","15,350",3.45%,0.70%,241,444737
2011,"""Self-Harm Cut/Pierce""","102,305",21.62%,4.30%,"1,619","473,134"
